id,installment,emp_length,annual_inc,dti,acc_now_delinq,delinq_amnt,delinq_2yrs,inq_last_6mths,salary_verified,delinq_before,interest_rate,credit_length,fico_score,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,home_ownership_OWN,home_ownership_RENT,default
49026334,510.6,5.0,55000.0,34.02,0,0,4,1,1.0,1.0,53.18,0,662.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
41012262,319.2,3.0,28454.0,16.07,0,0,0,0,1.0,1.0,60.60377358490566,24,662.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
43509953,166.77,10.0,35000.0,28.94,0,0,0,1,0.0,1.0,20.074400000000004,22,682.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60739896,400.24,0.0,41000.0,9.46,0,0,0,1,1.0,0.0,20.071999999999996,42,677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
70621272,154.32,10.0,56000.0,19.44,0,0,0,0,1.0,0.0,11.110399999999991,0,777.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39078212,166.05,3.0,57000.0,18.95,0,0,0,2,0.0,0.0,19.556000000000004,23,672.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
48726160,217.67,10.0,42000.0,18.0,0,0,0,1,1.0,1.0,30.602,21,667.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0
70570167,659.24,2.0,46000.0,38.61,0,0,0,0,0.0,1.0,18.663199999999996,33,697.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0
39330242,943.3,6.0,142000.0,24.3,0,0,2,0,1.0,1.0,21.281428571428556,0,662.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38586654,363.97,6.0,41000.0,19.88,0,0,0,0,1.0,0.0,36.48875000000001,0,682.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
76021153,1034.54,3.0,65000.0,17.95,0,0,0,3,1.0,1.0,49.57204819277109,30,662.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
